"NC Code
(7-stellig)","NC Code
(5-stellig)",NC-Bezeichnung,"Raum-
bezeichnung",Raumtyp,"Anzahl
Räume
(Summe)","230 V, 16 A","230 V, 32 A","NEA 230 V, 16 A",400 V / 16 A,400 V / 32 A,400 V / 63 A,NEA (400V/16A) PHYF,EDV RJ45,PE Erdungsschiene,Strombedarf (Leist.) in kW,Strombedarf (Gleichzeitigkeit) in kW,Steckdosen 230V 16A,Steckdosen 400V 16A,sep. Kreislauf,EDV (RJ45),USV,Not-Aus,SI,Schalter,Pot.-Ausgleich,Leistungsstabilität,Überspannungsschutz,Druckluft (CA),Stickstoff (N2),Kohlenstoffdioxid (CO2),Reinstgase nicht näher genannt ,Schutzgas nicht näher genannt Ringleitung (Druckminderer),Vakuum,CA-Netz,SA,Propan,N² (fl.),H² (fl.),LPG,Butan,Methan,CA+,N² (Gas),He,Ar,CO²,O²,H² (gas),C2H2,Zahl,C2H4,(CN)2,Kr,Lachgas,Ne,NH3,Xe,lokal Medien,Laborwasser kalt,Laborwasser warm (Durchlauferhitzer),VE-Wasser,Reinstwasser,Laborabwasser,Kühlwasser Vor- und Rücklauf,Zisternenwasser,Eismaschine (inklusive Abwasser),WNC,WNH,WPC,WPH,WDC,WDH,RW,KWV,KWR,Dampf,Abwasser,Abluft Abzug 480 m³/h,Punktabsaugung 100 m³/h,Schnüffelabsaugung 25 m³/h,Pumpenabluft für Vakuumpumpen (z.T. mit Öl kontaminiert) 5m³/h,Gefahrstoffunterschrank unter Abzug 3 m³/h (24-h-Abluft),Gefahrstoffschrank 60 m³/h (24-h-Abluft),Gefahrstoffschrank 60 4 m³/h (24-h-Abluft) ,Gefahrstoffschrank 90 7 m³/h (24-h-Abluft) ,Gefahrstoffschrank 120 10 m³/h (24-h-Abluft) ,LAN / Daten Geschwindigkeit in Mbit/s,"Mindest-
fläche
m²",Mindesthöhe,"Zugangs-
bereich","Platzierungs-
beschränk.","Tragfähigkeit
Boden","Vibrations-
dämpfung",Status,Raumbeschreibung
2111102,21111,Büroraum,Einzelbüromodul,B1,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111103,21111,Büroraum,Beratung,Büro_01,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111104,21111,Büroraum,Büro,Büro_01,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111105,21111,Büroraum,Büro - Doppelbelegung,Büro_01,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111106,21111,Büroraum,Büro - Einzelbelegung,Büro_01,12,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111107,21111,Büroraum,Büro 1-2 AP,Büro_01,172,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111108,21111,Büroraum,Doppelbüro,Büro_01,32,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111109,21111,Büroraum,Einzelbüro M,Büro_01,28,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111110,21111,Büroraum,Einzelbüro S,Büro_01,52,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111111,21111,Büroraum,Empfang,Büro_01,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111112,21111,Büroraum,Fokus,Büro_01,12,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111113,21111,Büroraum,Gruppe 4 AP,Büro_01,23,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111114,21111,Büroraum,Gruppe 6 AP,Büro_01,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111115,21111,Büroraum,Offene AP,Büro_01,100,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111116,21111,Büroraum,Warteraum,Büro_01,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111200,21112,Büroraum mit RLT 1,Auswertemodul 2-Achser,B2,21,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111501,21115,Büro im Küchenbereich mit RLT 1,Fachschaft,Büro_02,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111502,21115,Büro im Küchenbereich mit RLT 1,Teeküche,UB_19,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111503,21115,Büro im Küchenbereich mit RLT 1,Aufenthaltsraum,VBW_16,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111504,21115,Büro im Küchenbereich mit RLT 1,Aufenthaltsraum,Wphy_14,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111505,21115,Büro im Küchenbereich mit RLT 1,Aufenthaltsraum Azubis,Wphy_14,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321101,23211,Besprechungsraum/Kommunikationsfläche,Besprechungsraummodul 10 AP,B3,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321102,23211,Besprechungsraum/ Kommunikationsfläche,Besprechungs- und Schulungsraum 25 Personen,BSP_01,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321201,23212,Besprechungsraum mit RLT 1,Besprechung,BSP_01,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321202,23212,Besprechungsraum mit RLT 1,Besprechung L,BSP_01,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321203,23212,Besprechungsraum mit RLT 1,Besprechung M,BSP_01,9,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321204,23212,Besprechungsraum mit RLT 1,Besprechung S,BSP_01,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321205,23212,Besprechungsraum mit RLT 1,Projektraum M,BSP_01,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321206,23212,Besprechungsraum mit RLT 1,Projektraum S,BSP_01,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321207,23212,Besprechungsraum mit RLT 1,Informelle Kommunikation,Büro_01,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321208,23212,Besprechungsraum mit RLT 1,Besprechungsraum/ Kommunikationsfläche,kein RT,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321209,23212,Besprechungsraum mit RLT 1,Co-Learning Space,kein RT,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2321210,23212,Besprechungsraum mit RLT 1,Informelle Kommunikation,kein RT,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2611101,26111,Aufsichtsraum,Ausleihe/ Rücknahme,UB_14,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2611102,26111,Aufsichtsraum,Aufsichtsräume allgemein,UB_15,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2611103,26111,Aufsichtsraum,Theke/ Auskunft/ Aufsicht,UB_15,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2711101,27111,Fotokopierraum / Druckerraum,Scan-/Kopierraum Benutzer,UB_10,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2711102,27111,Fotokopierraum / Druckerraum,Kopierraum,UB_20,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2711200,27112,Fotokopierraum / Druckerraum mit RLT 1,Service / Kopierer,UB_10,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2711400,27114,Plotterraum mit RLT 1,Service / Kopierer,UB_10,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2711500,27115,Rapid-Prototyping (3D-Drucker) mit RLT 1,Rapid-Prototyping,VBW_07,1,4,0,0,0,0,0,0,2,0,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3151400,31514,Reinraumklasse bis 100,Reinraum Klasse FS100 / ISO 5,L.6,1,78,0,1,5,3,0,3,18,4,,,,,,,,,,,,,,6,6,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,6,0,0,,,,,,,,,,,,0,2,0,6,0,0,2,0,3,,,,,,,,Zu Erledigen,
3211101,32111,"Blechbearbeitung, Montage-, Stahlbau",Wasserstrahlschneider (inkl. Pumpenraum),VBW_03,1,14,0,0,0,1,0,0,2,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211102,32111,"Blechbearbeitung, Montage-, Stahlbau",Schweißraum,VBW_04,1,18,4,0,1,4,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211103,32111,"Blechbearbeitung, Montage-, Stahlbau",Lackierraum,VBW_10,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211104,32111,"Blechbearbeitung, Montage-, Stahlbau",Nassraum,VBW_11,1,16,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,3,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211105,32111,"Blechbearbeitung, Montage-, Stahlbau",Sandstrahl / Glühofenraum,Wphy_07,1,4,0,0,3,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211106,32111,"Blechbearbeitung, Montage-, Stahlbau",Plasmaschneidraum,Wphy_08,1,8,0,0,1,2,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211107,32111,"Blechbearbeitung, Montage-, Stahlbau",Schweißraum WIG,Wphy_10,1,2,0,0,6,1,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211108,32111,"Blechbearbeitung, Montage-, Stahlbau",Schleiferei,Wphy_11,1,0,0,0,8,2,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211109,32111,"Blechbearbeitung, Montage-, Stahlbau","Schlosserei/Schweißen, MIG, Autogen",Wphy_12,1,0,0,0,4,2,0,0,0,0,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211401,32114,Werkstatt Metall (fein),Werkbänke und freistehende Bearbeitungsmaschinen,VBW_01,1,36,0,0,5,8,0,0,24,0,,,,,,,,,,,,,,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211402,32114,Werkstatt Metall (fein),CNC,VBW_08,1,28,0,0,4,0,2,0,6,0,,,,,,,,,,,,,,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211403,32114,Werkstatt Metall (fein),Bestückungsautomat und Löten,VBW_20,1,16,0,0,1,0,0,0,6,0,,,,,,,,,,,,,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211404,32114,Werkstatt Metall (fein),Metallbearbeitung,Wphy_04,1,14,0,0,5,2,0,0,8,0,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211405,32114,Werkstatt Metall (fein),Werkbänke und freistehende Bearbeitungsmaschinen,Wphy_06,1,79,0,0,28,0,0,0,10,0,,,,,,,,,,,,,,10,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3211600,32116,Laser-Schneide-Werkstatt,Laserschneider,VBW_02,1,16,0,0,1,0,0,0,4,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3212101,32121,Werkstatt Elektrotechnik,Elektronikwerkstatt,VBW_17,1,20,0,0,0,6,0,0,12,0,,,,,,,,,,,,,,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3212102,32121,Werkstatt Elektrotechnik,Elektronikwerkstatt,Wphy_02,1,64,0,0,2,2,0,0,22,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,,,,,,,,,,,,0,8,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
3411101,34111,Elektroniklabor mit RLT 2,Ätzraum,VBW_19,1,12,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
